profile,features,complexity,primary_candidate,description,required_any
uncertainty,calibrated_error_risk,0,True,Calibrated risk that the frozen base prediction is wrong.,
prior,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,1,True,Calibrated prior evidence against a positive base prediction.,
uncertainty_prior,calibrated_error_risk|prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,2,True,Residual error risk plus calibrated prior evidence.,
uncertainty_support,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,2,True,Residual error risk plus label-free empirical domain support.,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance
uncertainty_prior_support,calibrated_error_risk|prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,3,True,Core prior audit augmented with empirical domain support.,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance
fit_support,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty,1,False,Diagnostic U+E profile using fold-fit drug/target support.,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty
source_domain_support,calibrated_error_risk|log_source_drug_count|log_source_target_count|log_source_pair_count|log_source_drug_cluster_count|log_source_target_cluster_count|log_source_cluster_pair_count|source_entity_support_min|source_cluster_support_min|source_entity_support_imbalance|source_cluster_support_imbalance|source_joint_novelty|source_one_sided_novelty|drug_nearest_train_distance|target_nearest_train_distance|drug_train_knn_distance|target_train_knn_distance|drug_embedding_mahalanobis|target_embedding_mahalanobis|domain_shift_score|domain_density_distance,1,False,Legacy U+E diagnostic using source counts and prior-space distances.,log_source_drug_count|log_source_target_count|log_source_pair_count|log_source_drug_cluster_count|log_source_target_cluster_count|log_source_cluster_pair_count|source_entity_support_min|source_cluster_support_min|source_entity_support_imbalance|source_cluster_support_imbalance|source_joint_novelty|source_one_sided_novelty|drug_nearest_train_distance|target_nearest_train_distance|drug_train_knn_distance|target_train_knn_distance|drug_embedding_mahalanobis|target_embedding_mahalanobis|domain_shift_score|domain_density_distance
native_source_domain_support,calibrated_error_risk|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,1,False,Native U+E diagnostic using Morgan/Tanimoto and ESM/cosine support.,drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance
target_sequence_support,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance|target_mmseqs_nearest_train_distance|target_mmseqs_family_unseen|target_mmseqs_family_sparsity,3,False,Fixed target-E diagnostic adding MMseqs2 identity/family support.,target_mmseqs_nearest_train_distance|target_mmseqs_family_unseen|target_mmseqs_family_sparsity
legacy_support,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|log_pair_fit_count|log_source_drug_count|log_source_target_count|log_source_pair_count|log_source_drug_cluster_count|log_source_target_cluster_count|log_source_cluster_pair_count|source_entity_support_min|source_cluster_support_min|source_entity_support_imbalance|source_cluster_support_imbalance|source_joint_novelty|source_one_sided_novelty|drug_nearest_train_distance|target_nearest_train_distance|drug_train_knn_distance|target_train_knn_distance|drug_embedding_mahalanobis|target_embedding_mahalanobis|domain_shift_score|domain_density_distance,2,False,Original E definition: fold-fit plus prior-space source support.,log_source_drug_count|log_source_target_count|log_source_pair_count|log_source_drug_cluster_count|log_source_target_cluster_count|log_source_cluster_pair_count|source_entity_support_min|source_cluster_support_min|source_entity_support_imbalance|source_cluster_support_imbalance|source_joint_novelty|source_one_sided_novelty|drug_nearest_train_distance|target_nearest_train_distance|drug_train_knn_distance|target_train_knn_distance|drug_embedding_mahalanobis|target_embedding_mahalanobis|domain_shift_score|domain_density_distance
combined_support,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|log_pair_fit_count|log_source_drug_count|log_source_target_count|log_source_pair_count|log_source_drug_cluster_count|log_source_target_cluster_count|log_source_cluster_pair_count|source_entity_support_min|source_cluster_support_min|source_entity_support_imbalance|source_cluster_support_imbalance|source_joint_novelty|source_one_sided_novelty|drug_nearest_train_distance|target_nearest_train_distance|drug_train_knn_distance|target_train_knn_distance|drug_embedding_mahalanobis|target_embedding_mahalanobis|domain_shift_score|domain_density_distance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,3,False,Diagnostic union of the legacy and native E definitions.,drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance
